protein,chainSize,population,generations,processingTime,resultSize,machineType
,12,300,600,248.9661,0.97,Cloud
,12,300,600,248.7503,0.94,Cloud
,12,300,900,385.9545,1.24,Local
,12,300,900,384.8029,1.23,Local
,12,300,900,384.6414,1.26,Local
,12,300,900,384.6222,1.28,Local
,12,300,900,383.8212,1.21,Local
,12,300,900,383.6374,1.27,Local
,12,300,900,383.2992,1.24,Local
,12,300,900,382.3668,1.26,Local
,12,300,900,381.6546,1.2,Local
,12,300,900,381.5885,1.21,Local
,12,300,900,381.1291,1.26,Cluster
,12,300,900,381.0689,1.26,Cluster
,12,300,900,379.4182,1.21,Cluster
,12,300,900,378.9839,1.25,Cluster
,12,300,900,378.6506,1.28,Cluster
,12,300,900,378.4893,1.25,Cluster
,12,300,900,378.4703,1.21,Cloud
,12,300,900,376.9634,1.22,Cloud
,12,300,900,376.2506,1.25,Cloud
,12,300,900,374.9828,1.24,Cloud
,12,300,1200,534.3542,1.59,Local
,12,300,1200,534.2208,1.64,Local
,12,300,1200,533.7721,1.6,Local
,12,300,1200,532.4359,1.57,Local
,12,300,1200,531.7249,1.59,Cluster
,12,300,1200,531.2731,1.55,Cluster
,12,300,1200,529.8998,1.6,Cluster
,12,300,1200,529.8464,1.55,Cluster
,12,300,1200,529.6516,1.58,Cluster
,12,300,1200,528.8167,1.58,Cluster
,12,300,1200,528.6056,1.61,Cluster
,12,300,1200,526.9588,1.62,Cluster
,12,300,1200,526.8692,1.55,Cluster
,12,300,1200,525.2748,1.61,Cluster
,12,300,1200,525.2368,1.65,Cloud
,12,300,1200,522.0099,1.65,Cloud
,12,300,1200,521.9527,1.55,Cloud
,12,300,1200,521.9313,1.62,Cloud
,12,300,1200,520.1541,1.65,Cloud
,12,300,1200,520.0839,1.57,Cloud
,36,100,200,85.0578,0.47,Local
,36,100,200,83.4577,0.47,Local
,36,100,200,81.9612,0.46,Local
,36,100,200,81.7757,0.45,Local
,36,100,200,81.2932,0.49,Cluster
,36,100,200,78.7333,0.45,Cluster
,36,100,200,78.4168,0.51,Cluster
,36,100,200,76.9502,0.44,Cluster
,36,100,200,76.7911,0.46,Cluster
,36,100,200,76.1901,0.46,Cluster
,36,100,200,75.8803,0.46,Cluster
,36,100,200,75.6044,0.44,Cluster
,36,100,200,75.2245,0.46,Cluster
,36,100,200,73.8426,0.51,Cluster
,36,100,200,68.2117,0.44,Cloud
,36,100,200,68.0049,0.49,Cloud
,36,100,200,67.0674,0.46,Cloud
,36,100,200,66.9307,0.44,Cloud
,36,100,200,66.6979,0.46,Cloud
,36,100,200,66.0009,0.48,Cloud
,36,100,300,139.4466,0.82,Local
,36,100,300,139.2977,0.78,Local
,36,100,300,136.6119,0.76,Local
,36,100,300,135.8408,0.79,Local
,36,100,300,120.8409,0.83,Cluster
,36,100,300,119.4478,0.77,Cluster
,36,100,300,119.3937,0.86,Cluster
,36,100,300,119.1737,0.88,Cluster
,36,100,300,118.2847,0.76,Cluster
,36,100,300,118.0241,0.76,Cluster
,36,100,300,117.9752,0.76,Cluster
,36,100,300,117.9167,0.86,Cluster
,36,100,300,117.5377,0.8,Cluster
,36,100,300,117.4194,0.82,Cluster
,36,100,300,116.5443,0.86,Cloud
,36,100,300,115.8494,0.78,Cloud
,36,100,300,115.8473,0.76,Cloud
,36,100,300,114.6753,0.88,Cloud
,36,100,300,114.4189,0.85,Cloud
,36,100,300,114.3695,0.8,Cloud
,36,100,400,183.5083,0.95,Local
,36,100,400,173.4608,1.06,Local
,36,100,400,181.1092,1.08,Local
,36,100,400,177.2745,0.98,Local
,36,100,400,161.9307,1.01,Cluster
,36,100,400,161.3881,1,Cluster
,36,100,400,160.6812,1.06,Cluster
,36,100,400,159.6093,1.08,Cluster
,36,100,400,158.4669,0.95,Cluster
,36,100,400,157.7156,1.08,Cluster
,36,100,400,157.4333,1.01,Cluster
,36,100,400,156.9901,0.98,Cluster
,36,100,400,156.5674,0.99,Cluster
,36,100,400,153.5839,1.03,Cluster
,36,100,400,152.3638,1.07,Cloud
,36,100,400,151.6625,0.99,Cloud
,36,100,400,150.1639,0.98,Cloud
,36,100,400,150.0281,1.05,Cloud
,36,100,400,147.8571,1,Cloud
,36,100,400,144.2622,1.01,Cloud
,36,200,400,347.3216,1.8,Local
,36,200,400,348.0994,2.91,Local
,36,200,400,349.8854,2.87,Local
,36,200,400,347.9749,2.98,Local
,36,200,400,336.7376,2.88,Cluster
,36,200,400,336.8098,2.95,Cluster
,36,200,400,334.4418,2.95,Cluster
,36,200,400,333.0808,2.97,Cluster
,36,200,400,331.6243,2.94,Cluster
,36,200,400,331.3667,2.93,Cluster
,36,200,400,329.0732,2.93,Cluster
,36,200,400,327.2337,2.98,Cluster
,36,200,400,326.8212,2.9,Cluster
,36,200,400,326.6865,2.95,Cluster
,36,200,400,320.9834,2.91,Cloud
,36,200,400,318.9084,2.97,Cloud
,36,200,400,316.4459,2.95,Cloud
,36,200,400,316.0717,2.88,Cloud
,36,200,400,315.3948,2.85,Cloud
,36,200,400,315.0387,2.99,Cloud
,36,200,600,527.9757,3.67,Local
,36,200,600,525.3221,3.68,Local
,36,200,600,522.9464,3.74,Local
,36,200,600,521.0789,3.68,Local
,36,200,600,511.6864,3.72,Cluster
,36,200,600,509.7818,3.74,Cluster
,36,200,600,509.5438,3.69,Cluster
,36,200,600,508.6924,3.67,Cluster
,36,200,600,508.5679,3.67,Cluster
,36,200,600,497.1094,3.73,Cluster
,36,200,600,495.8068,3.75,Cluster
,36,200,600,493.9414,3.74,Cluster
,36,200,600,492.2459,3.72,Cluster
,36,200,600,492.1919,3.66,Cluster
,36,200,600,484.8799,3.67,Cloud
,36,200,600,481.6866,3.73,Cloud
,36,200,600,478.4753,3.75,Cloud
,36,200,600,477.2872,3.75,Cloud
,36,200,600,475.9997,3.73,Cloud
,36,200,600,474.0738,3.69,Cloud
,36,200,800,682.7839,4.35,Local
,36,200,800,680.7864,4.37,Local
,36,200,800,676.6844,4.37,Local
,36,200,800,676.6194,4.37,Local
,36,200,800,671.4988,4.33,Cluster
,36,200,800,669.9613,4.37,Cluster
,36,200,800,669.6319,4.33,Cluster
,36,200,800,668.5909,4.4,Cluster
,36,200,800,667.0508,4.37,Cluster
,36,200,800,666.4826,4.43,Cluster
,36,200,800,664.4657,4.32,Cluster
,36,200,800,663.9533,4.45,Cluster
,36,200,800,662.8797,4.35,Cluster
,36,200,800,662.6795,4.31,Cluster
,36,200,800,655.8769,4.39,Cloud
,36,200,800,652.9134,4.43,Cloud
,36,200,800,652.3022,4.35,Cloud
,36,200,800,651.4796,4.43,Cloud
,36,200,800,646.5923,4.31,Cloud
,36,200,800,644.6424,4.35,Cloud
,36,300,600,1199.5242,5.72,Local
,36,300,600,1182.7421,5.7,Local
,36,300,600,1191.9598,5.72,Local
,36,300,600,1188.0348,5.73,Local
,36,300,600,1123.8809,5.78,Cluster
,36,300,600,1123.1321,5.72,Cluster
,36,300,600,1120.8777,5.7,Cluster
,36,300,600,1111.6833,5.75,Cluster
,36,300,600,1109.8535,5.79,Cluster
,36,300,600,1109.7765,5.73,Cluster
,36,300,600,1107.6904,5.74,Cluster
,36,300,600,1104.7181,5.73,Cluster
,36,300,600,1101.7578,5.8,Cluster
,36,300,600,1100.1938,5.77,Cluster
,36,300,600,1079.8884,5.72,Cloud
,36,300,600,1068.8591,5.8,Cloud
,36,300,600,1068.6054,5.79,Cloud
,36,300,600,1064.4067,5.8,Cloud
,36,300,600,1061.1053,5.79,Cloud
,36,300,600,1060.9002,5.7,Cloud
,36,300,900,1355.7263,6.6,Local
,36,300,900,1343.1815,6.49,Local
,36,300,900,1366.7349,6.48,Local
,36,300,900,1353.1883,6.6,Local
,36,300,900,1292.4843,6.51,Cluster
,36,300,900,1290.3336,6.54,Cluster
,36,300,900,1279.9615,6.48,Cluster
,36,300,900,1277.7194,6.47,Cluster
,36,300,900,1266.0714,6.56,Cluster
,36,300,900,1265.0667,6.6,Cluster
,36,300,900,1256.0652,6.56,Cluster
,36,300,900,1253.6069,6.58,Cluster
,36,300,900,1253.1314,6.54,Cluster
,36,300,900,1249.5047,6.52,Cluster
,36,300,900,1232.3098,6.5,Cloud
,36,300,900,1230.1562,6.51,Cloud
,36,300,900,1220.3443,6.49,Cloud
,36,300,900,1207.4047,6.58,Cloud
,36,300,900,1203.6976,6.46,Cloud
,36,300,900,1190.2813,6.5,Cloud
,36,300,1200,2010.3286,7.4,Local
,36,300,1200,2008.6498,7.37,Local
,36,300,1200,2004.3136,7.33,Local
,36,300,1200,2001.9222,7.36,Local
,36,300,1200,1925.8565,7.32,Cluster
,36,300,1200,1925.6138,7.35,Cluster
,36,300,1200,1915.7406,7.38,Cluster
,36,300,1200,1915.3996,7.4,Cluster
,36,300,1200,1908.6233,7.29,Cluster
,36,300,1200,1901.6011,7.37,Cluster
,36,300,1200,1900.4563,7.25,Cluster
,36,300,1200,1898.0333,7.24,Cluster
,36,300,1200,1894.3853,7.37,Cluster
,36,300,1200,1889.8096,7.35,Cluster
,36,300,1200,1856.8122,7.27,Cloud
,36,300,1200,1855.4519,7.23,Cloud
,36,300,1200,1852.9462,7.39,Cloud
,36,300,1200,1844.1361,7.3,Cloud
,36,300,1200,1838.7511,7.3,Cloud
,36,300,1200,1836.6305,7.33,Cloud
,100,100,200,502.8483,3.35,Local
,100,100,200,497.4325,3.32,Local
,100,100,200,342.6299,3.42,Cluster
,100,100,200,335.0753,3.32,Cluster
,100,100,200,330.3163,3.44,Cluster
,100,100,200,327.4815,3.45,Cluster
,100,100,200,320.2871,3.34,Cluster
,100,100,200,319.8853,3.4,Cluster
,100,100,200,302.8479,3.42,Cloud
,100,100,200,302.1689,3.43,Cloud
,100,100,200,299.3049,3.39,Cloud
,100,100,200,299.1528,3.41,Cloud
,100,100,200,294.4223,3.41,Cloud
,100,100,200,293.2437,3.42,Cloud
,100,100,200,292.5354,3.41,Cloud
,100,100,200,287.9667,3.4,Cloud
,100,100,200,279.8887,3.37,Cloud
,100,100,200,277.6545,3.33,Cloud
,100,100,200,275.4609,3.38,Cloud
,100,100,200,269.4925,3.32,Cloud
,100,100,300,677.2027,4.31,Local
,100,100,300,669.1988,4.36,Local
,100,100,300,468.5894,4.34,Cluster
,100,100,300,468.0456,4.36,Cluster
,100,100,300,467.3602,4.28,Cluster
,100,100,300,464.6642,4.25,Cluster
,100,100,300,462.8363,4.33,Cluster
,100,100,300,462.2767,4.33,Cluster
,100,100,300,429.4112,4.38,Cloud
,100,100,300,425.7801,4.34,Cloud
,100,100,300,425.3225,4.38,Cloud
,100,100,300,425.1879,4.27,Cloud
,100,100,300,411.0459,4.32,Cloud
,100,100,300,410.8521,4.34,Cloud
,100,100,300,408.6217,4.26,Cloud
,100,100,300,402.7467,4.38,Cloud
,100,100,300,397.3935,4.26,Cloud
,100,100,300,396.9141,4.27,Cloud
,100,100,300,396.1817,4.3,Cloud
,100,100,300,394.2507,4.36,Cloud
,100,100,400,710.2189,5.83,Local
,100,100,400,707.9586,5.81,Local
,100,100,400,494.9679,5.8,Cluster
,100,100,400,493.0553,5.78,Cluster
,100,100,400,491.3188,5.75,Cluster
,100,100,400,487.1132,5.8,Cluster
,100,100,400,485.4766,5.76,Cluster
,100,100,400,483.3988,5.8,Cluster
,100,100,400,453.5736,5.8,Cloud
,100,100,400,452.9503,5.77,Cloud
,100,100,400,449.7674,5.88,Cloud
,100,100,400,448.3362,5.85,Cloud
,100,100,400,445.5404,5.88,Cloud
,100,100,400,443.0319,5.78,Cloud
,100,100,400,440.9333,5.81,Cloud
,100,100,400,440.1447,5.84,Cloud
,100,100,400,439.0724,5.81,Cloud
,100,100,400,438.9125,5.83,Cloud
,100,100,400,437.2585,5.88,Cloud
,100,100,400,436.1945,5.77,Cloud
,100,200,400,1905.2232,9.81,Local
,100,200,400,1903.8082,9.88,Local
,100,200,400,1087.7384,9.85,Cluster
,100,200,400,1087.5971,9.8,Cluster
,100,200,400,1075.9739,9.82,Cluster
,100,200,400,1074.7375,9.84,Cluster
,100,200,400,1057.0887,9.73,Cluster
,100,200,400,1054.4297,9.86,Cluster
,100,200,400,1014.1399,9.86,Cloud
,100,200,400,1012.1133,9.72,Cloud
,100,200,400,1008.65,9.73,Cloud
,100,200,400,1007.1665,9.7,Cloud
,100,200,400,1005.9937,9.76,Cloud
,100,200,400,1003.3173,9.88,Cloud
,100,200,400,996.3569,9.81,Cloud
,100,200,400,994.3821,9.88,Cloud
,100,200,400,985.5117,9.7,Cloud
,100,200,400,981.0266,9.74,Cloud
,100,200,400,979.0801,9.8,Cloud
,100,200,400,977.5057,9.72,Cloud
,100,200,600,2117.7466,12.33,Local
,100,200,600,2105.0527,12.63,Local
,100,200,600,1203.6855,12.58,Cluster
,100,200,600,1202.1255,12.75,Cluster
,100,200,600,1201.4353,12.37,Cluster
,100,200,600,1203.5667,12.13,Cluster
,100,200,600,1196.9331,12.51,Cluster
,100,200,600,1200.9491,12.36,Cluster
,100,200,600,1144.1939,12.01,Cloud
,100,200,600,1139.1189,12.65,Cloud
,100,200,600,1138.5704,12.54,Cloud
,100,200,600,1137.5391,12.53,Cloud
,100,200,600,1126.6407,12.64,Cloud
,100,200,600,1126.5248,12.35,Cloud
,100,200,600,1125.5746,12.12,Cloud
,100,200,600,1122.7449,12.31,Cloud
,100,200,600,1118.5137,12.13,Cloud
,100,200,600,1113.2631,12.27,Cloud
,100,200,600,1106.9297,12.21,Cloud
,100,200,600,1105.9078,12.01,Cloud
,100,200,800,4408.8307,15.06,Local
,100,200,800,4382.2043,15.01,Local
,100,200,800,2473.8122,15.07,Cluster
,100,200,800,2471.0165,15.05,Cluster
,100,200,800,2455.9839,15.38,Cluster
,100,200,800,2436.3808,14.9,Cluster
,100,200,800,2420.9259,15.3,Cluster
,100,200,800,2410.4903,14.85,Cluster
,100,200,800,2361.6809,15.12,Cloud
,100,200,800,2354.5046,15.39,Cloud
,100,200,800,2330.6103,15.04,Cloud
,100,200,800,2311.5833,15.27,Cloud
,100,200,800,2294.7265,15.4,Cloud
,100,200,800,2272.5323,15.3,Cloud
,100,200,800,2266.6078,14.92,Cloud
,100,200,800,2244.4153,14.82,Cloud
,100,200,800,2234.7167,15.15,Cloud
,100,200,800,2218.2482,15.15,Cloud
,100,200,800,2209.8876,15.23,Cloud
,100,200,800,2202.8846,14.98,Cloud
,100,300,600,5644.2393,18.22,Local
,100,300,600,5629.58,18.64,Local
,100,300,600,2885.45,18.85,Cluster
,100,300,600,2825.3984,18.1,Cluster
,100,300,600,2780.1245,18.36,Cluster
,100,300,600,2772.3709,18.17,Cluster
,100,300,600,2744.8333,18.26,Cluster
,100,300,600,2744.4688,18.55,Cluster
,100,300,600,2624.85,18.88,Cloud
,100,300,600,2572.9325,18.83,Cloud
,100,300,600,2496.2819,18.54,Cloud
,100,300,600,2488.9798,18.49,Cloud
,100,300,600,2484.2731,18.88,Cloud
,100,300,600,2483.7327,18.77,Cloud
,100,300,600,2479.6793,18.8,Cloud
,100,300,600,2477.2513,18.55,Cloud
,100,300,600,2473.3229,18.64,Cloud
,100,300,600,2468.4307,18.75,Cloud
,100,300,600,2464.6859,18.6,Cloud
,100,300,600,2438.7461,18.24,Cloud
,100,300,900,8621.3958,25.43,Local
,100,300,900,8602.4681,25.76,Local
,100,300,900,4386.5429,25.62,Cluster
,100,300,900,4374.1099,25.64,Cluster
,100,300,900,4371.4943,26.1,Cluster
,100,300,900,4332.2723,25.52,Cluster
,100,300,900,4298.3011,25.38,Cluster
,100,300,900,4278.5023,26.07,Cluster
,100,300,900,4172.6225,25.93,Cloud
,100,300,900,4162.7052,25.4,Cloud
,100,300,900,4107.1031,25.46,Cloud
,100,300,900,4045.0157,25.92,Cloud
,100,300,900,4024.9263,25.44,Cloud
,100,300,900,4010.0667,25.95,Cloud
,100,300,900,4002.3035,25.82,Cloud
,100,300,900,3987.8902,25.42,Cloud
,100,300,900,3954.3083,25.48,Cloud
,100,300,900,3908.2458,25.51,Cloud
,100,300,900,3883.1379,26.02,Cloud
,100,300,900,3860.3588,25.89,Cloud
,100,300,1200,17722.7982,38.18,Local
,100,300,1200,17683.8695,37.67,Local
,100,300,1200,6070.6415,37.92,Cluster
,100,300,1200,6067.4873,38.06,Cluster
,100,300,1200,6050.8595,38.27,Cluster
,100,300,1200,6049.9086,38.57,Cluster
,100,300,1200,6029.6146,38.67,Cluster
,100,300,1200,6023.1656,37.67,Cluster
,100,300,1200,5789.6492,38.17,Cloud
,100,300,1200,5788.3103,38.18,Cloud
,100,300,1200,5776.9191,37.84,Cloud
,100,300,1200,5768.5025,37.66,Cloud
,100,300,1200,5761.0224,38.62,Cloud
,100,300,1200,5756.2627,38.31,Cloud
,100,300,1200,5748.3236,37.65,Cloud
,100,300,1200,5735.0636,37.76,Cloud
,100,300,1200,5733.2,38.4,Cloud
,100,300,1200,5722.4507,37.6,Cloud
,100,300,1200,5651.5649,38.66,Cloud
,100,300,1200,5616.8298,38.53,Cloud
2N0I,12,20,1,0.1833,1,Local
2N0I,12,30,30,1.8167,1.4,Local
2N0I,12,30,60,3.4000,1.5,Local
2N0I,12,30,90,5.1500,1.7,Local
2N0I,12,30,150,8.4167,1.8,Cluster
1BCV,20,20,11,0.5167,1.5,Local
1BCV,20,20,20,0.9167,1.4,Local
1BCV,20,20,20,0.9000,1,Local
1BCV,20,20,20,0.8000,1.4,Cluster
1BCV,20,20,40,1.6667,1.5,Cluster
1BCV,20,20,80,3.1667,1.4,Cluster
1BCV,20,20,120,4.7000,1.5,Cloud
1BCV,20,20,160,6.0667,1.5,Cloud
1AI0,21,20,20,0.8500,1.00,Local
1AI0,21,20,40,1.7000,1.8,Local
1AI0,21,20,60,2.4667,1.1,Local
1AI0,21,45,100,9.2667,1.4,Cluster
1AI0,21,45,150,13.9333,1.4,Cluster
1AI0,21,45,350,31.4500,1.4,Cloud
1AI0,21,50,100,9.8833,1.7,Local
1AI0,21,50,100,9.8833,1.7,Local
1AI0,21,50,200,19.5333,1.7,Local
1AI0,21,50,300,29.3500,1.9,Local
1AI0,21,100,200,39.5333,1.5,Local
1AI0,21,100,300,59.1500,1.6,Cloud
1AI0,21,100,400,78.2167,1.7,Local
1AI0,21,120,120,29.6667,1.2,Local
1AI0,21,120,240,59.6500,1.7,Local
1AI0,21,120,400,96.3500,2.1,Cloud
1AI0,21,500,80,82.6833,1.6,Cloud
1AI0,21,500,1000,1024.1667,9.1,Cloud
2ETI,28,20,20,1.0833,1.6,Local
2ETI,28,20,20,1.1000,1.6,Local
2ETI,28,20,20,1.1000,1.6,Cluster
2ETI,28,20,30,1.5667,1.7,Cloud
2ETI,28,20,40,1.8333,1.6,Cloud
2ETI,28,20,50,2.5333,1.7,Cloud
2ETI,28,20,70,3.1667,1.5,Local
2ETI,28,20,90,4.4000,1.7,Local
2ETI,28,20,100,4.5833,1.6,Local
2ETI,28,20,150,6.9000,1.7,Local
2ETI,28,20,300,13.4833,1.7,Local
2ETI,28,200,200,84.6667,2.2,Cloud
2ETI,28,200,300,135.3667,2.7,Cluster
2ETI,28,200,400,177.5333,3.1,Cluster
1C94,38,20,20,1.9500,1.5,Local
1C94,38,49,120,54.5833,1.8,Local
1C94,38,60,30,6.5333,1.3,Local
1C94,38,60,60,14.2333,1.4,Local
1C94,38,60,100,23.5000,1.4,Cloud
1C94,38,60,150,35.4500,1.6,Cloud
1C94,38,80,100,31.0833,2.2,Local
1C94,38,80,140,43.5333,2.1,Cluster
1C94,38,80,200,62.2833,2.1,Local
1C94,38,80,250,74.5333,2.2,Cluster
1C94,38,80,250,77.9333,2.2,Cluster
1C94,38,120,60,28.4000,1.6,Local
1C94,38,120,140,64.8500,1.7,Cluster
1C94,38,120,180,82.7500,1.8,Cluster
1C94,38,120,200,92.4333,1.8,Local
1C94,38,200,70,55.4333,1.5,Cluster
1C94,38,200,100,79.9167,1.7,Cluster
1C94,38,200,150,119.0000,1.8,Local
1C94,38,200,200,156.8333,2,Cluster
1C94,38,200,250,197.5167,2.1,Cloud
1C94,38,200,250,197.9500,2.1,Cluster
1C94,38,200,300,235.4000,2.2,Cluster
1C94,38,200,350,276.0833,2.5,Cluster
1C94,38,200,400,283.0667,2.6,Cluster
1C94,38,200,400,315.2167,2.5,Cloud
1C94,38,200,500,394.4167,2.8,Cloud
1C94,38,200,1000,784.2000,4.3,Cloud
5K2L,49,20,40,4.0333,2,Cloud
5K2L,49,20,60,5.9167,1.9,Cloud
5K2L,49,20,80,7.8333,1.8,Cloud
5K2L,49,50,100,23.6833,1.3,Cloud
5K2L,49,50,150,35.2333,1.4,Cloud
5K2L,49,50,200,46.8167,1.5,Cloud
5K2L,49,50,50,10.7500,1.3,Local
5K2L,49,50,75,20.1167,1.2,Local
5K2L,49,50,200,53.5167,1.4,Cluster
5K2L,49,50,300,69.8333,1.5,Cluster
5K2L,49,200,400,386.4500,3.5,Cloud
5K2L,49,200,600,581.1333,4.2,Cloud
5K2L,49,200,800,770.7333,4.8,Cloud
5K2L,49,200,100,112.5833,2.4,Cluster
5K2L,49,200,200,220.7667,2.9,Cloud
5HVZ,50,20,10,1.5000,1.7,Local
5HVZ,50,20,20,2.6667,1.8,Local
5HVZ,50,20,20,2.8167,1.8,Local
5HVZ,50,20,30,4.1333,1.9,Local
5HVZ,50,20,40,4.9667,1.8,Local
5HVZ,50,20,40,5.4167,1.8,Local
5HVZ,50,20,80,10.5833,2,Local
